date,open,high,low,close,volume
2025-10-29T09:15:00+05:30,1490,1500.6,1488.1,1497.1,1307201
2025-10-29T09:45:00+05:30,1497,1505.4,1496.1,1503.6,977773
2025-10-29T10:15:00+05:30,1503.5,1506.4,1502,1502.5,814612
2025-10-29T10:45:00+05:30,1502.7,1503.5,1498.9,1503.5,696183
2025-10-29T11:15:00+05:30,1503.4,1508.3,1500.1,1506.5,1012907
2025-10-29T11:45:00+05:30,1506.6,1506.9,1499,1501.9,1048578
2025-10-29T12:15:00+05:30,1501.9,1504.5,1499.4,1504.4,597946
2025-10-29T12:45:00+05:30,1504.4,1506,1502.1,1505.7,1027054
2025-10-29T13:15:00+05:30,1505.7,1507.4,1502.6,1504.6,1226812
2025-10-29T13:45:00+05:30,1504.8,1505.2,1501.1,1503.3,497376
2025-10-29T14:15:00+05:30,1503.3,1504.7,1501.1,1502.8,1198207
2025-10-29T14:45:00+05:30,1502.8,1504.8,1500.8,1503.6,935968
2025-10-29T15:15:00+05:30,1503.6,1505.3,1503.1,1504,492483
2025-10-30T09:15:00+05:30,1500,1501.3,1492.4,1493.6,616638
2025-10-30T09:45:00+05:30,1493.8,1496,1490.4,1496,482849
2025-10-30T10:15:00+05:30,1496,1496.6,1490,1490.8,293358
2025-10-30T10:45:00+05:30,1490.8,1498.3,1490.6,1496.9,662111
2025-10-30T11:15:00+05:30,1497.3,1503.1,1496.4,1498.4,1129710
2025-10-30T11:45:00+05:30,1498.1,1499.4,1495,1495.2,629294
2025-10-30T12:15:00+05:30,1495.2,1496.1,1492.7,1495.8,305164
2025-10-30T12:45:00+05:30,1495.8,1496.5,1492.7,1494,310982
2025-10-30T13:15:00+05:30,1494.1,1495.6,1488,1489,541262
2025-10-30T13:45:00+05:30,1489.3,1491.3,1487.1,1491,453211
2025-10-30T14:15:00+05:30,1490.9,1491.5,1486.5,1489.7,1143357
2025-10-30T14:45:00+05:30,1489,1490.4,1484,1488.2,2047125
2025-10-30T15:15:00+05:30,1488.1,1490.4,1488,1489.7,669794
2025-10-31T09:15:00+05:30,1490.4,1497.5,1488.1,1490.4,698724
2025-10-31T09:45:00+05:30,1490.3,1491.6,1484.5,1486.7,358823
2025-10-31T10:15:00+05:30,1486.2,1488.2,1482.8,1488,316311
2025-10-31T10:45:00+05:30,1488,1488.5,1482.3,1484.5,193420
2025-10-31T11:15:00+05:30,1484.1,1487.5,1482.8,1487.4,215772
2025-10-31T11:45:00+05:30,1487.3,1492.8,1484.6,1487.6,326388
2025-10-31T12:15:00+05:30,1487.9,1491.3,1485.4,1488,270446
2025-10-31T12:45:00+05:30,1488,1491.9,1487,1488.9,582371
2025-10-31T13:15:00+05:30,1489,1490.1,1486,1487.5,603244
2025-10-31T13:45:00+05:30,1487.5,1489.8,1485.4,1489.7,679217
2025-10-31T14:15:00+05:30,1489.7,1491.7,1486.1,1488.4,903324
2025-10-31T14:45:00+05:30,1488.4,1489.1,1485,1486.4,2031259
2025-10-31T15:15:00+05:30,1486.6,1487.9,1486,1487,1506250
2025-11-03T09:15:00+05:30,1486,1490,1479.3,1489,755519
2025-11-03T09:45:00+05:30,1488.8,1491.7,1487.1,1487.7,439142
