Symbol
RELIANCE
TCS
HDFCBANK
INFY
ICICIBANK
HINDUNILVR
ITC
SBIN
BHARTIARTL
KOTAKBANK
LT
AXISBANK
ASIANPAINT
MARUTI
HCLTECH
BAJFINANCE
WIPRO
ULTRACEMCO
TITAN
NESTLEIND
SUNPHARMA
TATAMOTORS
ONGC
NTPC
POWERGRID
ADANIPORTS
COALINDIA
TATASTEEL
JSWSTEEL
M&M
BAJAJFINSV
TECHM
INDUSINDBK
HINDALCO
DRREDDY
CIPLA
EICHERMOT
BRITANNIA
APOLLOHOSP
GRASIM
HEROMOTOCO
DIVISLAB
ADANIENT
UPL
TATACONSUM
BAJAJ-AUTO
SHRIRAMFIN
LTIM
BPCL
SBILIFE
JIOFIN
TRENT
ADANIGREEN
ADANIENSOL
DLF
VBL
SIEMENS
PIDILITIND
ABB
AMBUJACEM
HAVELLS
DMART
GODREJCP
DABUR
BOSCHLTD
ZOMATO
TORNTPHARM
VEDL
BAJAJHLDNG
HAL
BEL
ZYDUSLIFE
INDIGO
TVSMOTOR
BANKBARODA
GAIL
ATGL
YESBANK
COLPAL
CHOLAFIN
MARICO
LICHSGFIN
SRF
INDUSTOWER
PERSISTENT
ICICIGI
SBICARD
HDFCLIFE
ADANIPOWER
MCDOWELL-N
POLICYBZR
PFC
CANBK
RECLTD
HINDPETRO
NYKAA
BERGEPAINT
LODHA
IOC
MPHASIS
PAYTM
BIOCON
PAYTM
AMBUJACEM
OFSS
PAGEIND
GLAND
AUROPHARMA
ALKEM
BANDHANBNK
LUPIN
CONCOR
PIDILITIND
MOTHERSON
TATACOMM
PNB
ACC
APOLLOTYRE
DELTACORP
INDHOTEL
MFSL
PETRONET
ESCORTS
COFORGE
ABCAPITAL
PHOENIXLTD
LICI
JINDALSTEL
SAIL
NMDC
PEL
CUMMINSIND
IRCTC
SUPREMEIND
VOLTAS
BHARATFORG
DALBHARAT
SYNGENE
DIXON
IRFC
IEX
IREDA
IDFCFIRSTB
TATAELXSI
IGL
WHIRLPOOL
ASTRAL
CRISIL
SCHAEFFLER
MGL
FEDERALBNK
EXIDEIND
IPCALAB
NATIONALUM
TATACHEM
OBEROIRLTY
BALRAMCHIN
LTTS
AWL
FORTIS
MAZDOCK
FLUOROCHEM
HONAUT
TATAPOWER
JSWENERGY
ABFRL
UBL
CROMPTON
CENTRICITY
LAURUSLABS
MANAPPURAM
JUBLFOOD
NAM-INDIA
PGHH
GMRINFRA
CHOLAHLDNG
MUTHOOTFIN
GRANULES
AUBANK
MAXHEALTH
RAJESHEXPO
KPITTECH
SONACOMS
BANKBARODA
POLYCAB
GRINDWELL
CGPOWER
360ONE
TIINDIA
ITC
KPRMILL
CDSL
TATATECH
GRSE
TTML
SUNPHARMA
CHAMBLFERT
PERSISTENT
SUNTV
INDUSTOWER
MARICO
POONAWALLA
CUB
INDIAMART
SWSOLAR
L&TFH
CANFINHOME
TATACOFFEE
DEEPAKNTR
UNIONBANK
HATSUN
ASIANPAINT
EIDPARRY
APLAPOLLO
KALYANKJIL
JBCHEPHARM
HINDCOPPER
MCX
ASTERDM
GLENMARK
AEGISLOG
IDBI
MOTILALOFS
MANYAVAR
NAUKRI
CLEAN
COROMANDEL
SUNDARMFIN
FSL
RAIN
METROBRAND
GNFC
BSOFT
KEI
INDIACEM
ASHOKLEY
ZENSARTECH
TATACONSUM
LALPATHLAB
CENTURYTEX
GLAXO
KFINTECH
BECTORFOOD
JKCEMENT
MAHABANK
KANSAINER
CREDITACC
M&MFIN
SUMICHEM
NHPC
RAJRATAN
DATAPATTNS
RAMCOCEM
SONATSOFTW
APLLTD
SOLARINDS
JKLAKSHMI
AIAENG
SWANENERGY
AETHER
GUJGASLTD
BAJAJCON
PNCINFRA
SHREECEM
JMFINANCIL
POLYMED
NATCOPHARM
PCBL
GODFRYPHLP
TIMKEN
FINEORG
NAVINFLUOR
EMAMILTD
TVSSRICHAK
RELAXO
AARTIIND
CIEINDIA
NETWORK18
TV18BRDCST
GILLETTE
VTL
KSB
UNOMINDA
RTNINDIA
EASEMYTRIP
BIRLACORPN
BRIGADE
AMBER
CARBORUNIV
PNBHOUSING
SFL
HFCL
GPPL
CREDITACC
GODREJIND
ANURAS
SHARDACROP
SHYAMMETL
SKFINDIA
RITES
JKTYRE
HAPPSTMNDS
SUNCLAYLTD
BAJAJELEC
RATNAMANI
CAMPUS
SUPREMEPWR
RAILTEL
ECLERX
GRINFRA
GILLANDERS
FINPIPE
INTELLECT
CASTROLIND
FINCABLES
TIMETECHNO
AJANTPHARM
JWL
FMGOET
HUDCO
PPLPHARMA
BLUEDART
STARHEALTH
ROUTE
JCHAC
J&KBANK
ALKYLAMINE
ELGIEQUIP
REDINGTON
VGUARD
RVNL
GMMPFAUDLR
AFFLE
THERMAX
KAJARIACER
SJVN
LINDEINDIA
TEJASNET
ATUL
HBLPOWER
POWERINDIA
GMRAIRPORT
PHOENIXLTD
RADICO
TATAINVEST
GODIGIT
TATVA
KARURVYSYA
COCHINSHIP
TTKPRESTIG
MEDPLUS
SUVENPHAR
BALAMINES
TRIDENT
PVR
TIPSINDLTD
BLS
CGCL
CONCORDBIO
INOXWIND
GREAVESCOT
DELHIVERY
ORIENTELEC
HINDWAREAP
TANLA
TATACHEM
DEVYANI
EQUITASBNF
AARTIDRUGS
UCOBANK
SIS
JBMA
LAOPALA
FACT
DBREALTY
IVC
SAKSOFT
PRIVISCL
MAHSEAMLES
PATELENG
MINDACORP
APARINDS
SANOFI
HERITGFOOD
LAXMIMACH
CESC
DBL
RBLBANK
RAINBOW
PRAJIND
MAHLOG
SYRMA
ZEELEARN
SAGCEM
FIVESTAR
BSE
SWARAJENG
TATAMETALI
GRSE
NIITLTD
LATENTVIEW
NH
ANANDRATHI
IIFL
GALAXYSURF
STLTECH
BEML
ERIS
RENUKA
KEYFINSERV
GODFRYPHLP
BASF
KOLTEPATIL
NESCO
JSWINFRA
TRITURBINE
BDL
VSTIND
SCHNEIDER
ALOKINDS
TCIEXP
MAHLIFE
MEDANTA
UTIAMC
ASAHIINDIA
KIMS
EIHOTEL
KAYNES
SOBHA
SARDAEN
GESHIP
ZFCVINDIA
FLUOROCHEM
REDTAPE
JYOTHYLAB
CCL
UTKARSHBNK
SONACOMS
MAPMYINDIA
BHARATGEAR
NEWGEN
RBA
ORIENTCEM
KAMATHOTEL
ITI
IRB
SWELECTES
VIPIND
IFBIND
GARFIBRES
ROUTE
AVANTIFEED
SUMICHEM
SUNTECK
CAPLIPOINT
MAHSCOOTER
FINOPB
WESTLIFE
JM
ASTEC
MAHINDCIE
TATVA
CYIENT
NBCC
DREDGECORP
RVNL
AIAENG
SOMANYCERA
KEC
BLUEDART
KRBL
SPLPETRO
AETHER
JYOTHYLAB
SPARC
MANAPPURAM
SCI
FINEORG
CERA
FMGOET
INDIGOPNTS
IDFCFIRSTB
CSBBANK
GUFICBIO
HCG
BLUESTARCO
EIHOTEL
SPANDANA
