time_ist,security_id,instrument_name,best_bid,best_ask,spread,total_bid_qty,total_ask_qty,total_bid_orders,total_ask_orders,imbalance_ratio,,avg_bid_order_size,avg_ask_order_size,,bid_vwap,Bid Vwap change,ask_vwap,ask vwap change,bid_50pct_level,ask_50pct_level,order ratio,OIMBR,Bids Avg value,Ask avg value,ratio
14:10:10,49543,NIFTY DEC 2025 FUT,25961.4,25963.3,1.9,108975,123900,465,626,0.8795,0%,234.35,197.92,1.184064268,25925.94,0%,25989.5,0%,127,78,0.742811502,1.184015054,282.5279312,322.009905,0.877388946
14:10:10,49543,NIFTY DEC 2025 FUT,25961.4,25963.2,1.8,114900,122550,472,611,0.9376,7%,243.43,200.57,1.213690981,25927.82,7%,25989.67,1%,122,80,0.772504092,1.213715254,297.9106518,318.5034059,0.935345263
14:10:10,49543,NIFTY DEC 2025 FUT,25961.4,25963.2,1.8,115050,123150,473,619,0.9342,0%,243.23,198.95,1.222568485,25927.87,0%,25990.04,1%,122,79,0.764135703,1.222557717,298.3001444,320.0673426,0.931991817
14:10:11,49543,NIFTY DEC 2025 FUT,25961.4,25963.2,1.8,114525,123225,467,620,0.9294,-1%,245.24,198.75,1.23391195,25928.08,1%,25989.82,-1%,123,77,0.753225806,1.233892934,296.9413362,320.259557,0.927189618
14:10:11,49543,NIFTY DEC 2025 FUT,25961.4,25963.2,1.8,114600,123675,468,626,0.9266,0%,244.87,197.56,1.239471553,25928.05,0%,25989.9,0%,122,76,0.747603834,1.239426496,297.135453,321.4300883,0.924417047
14:10:11,49543,NIFTY DEC 2025 FUT,25961.4,25963.2,1.8,114750,123900,470,629,0.9262,0%,244.15,196.98,1.239465936,25927.84,-1%,25989.84,0%,123,78,0.747217806,1.239531489,297.521964,322.0141176,0.923940746
14:10:11,49543,NIFTY DEC 2025 FUT,25962,25963.3,1.3,114300,123975,467,629,0.922,0%,244.75,197.1,1.241755454,25927.73,0%,25989.86,0%,124,77,0.742448331,1.241837259,296.3539539,322.2092894,0.919756083
14:10:12,49543,NIFTY DEC 2025 FUT,25962,25962.8,0.8,113925,123525,466,623,0.9223,0%,244.47,198.27,1.233015585,25927.57,-1%,25989.51,-1%,125,78,0.747993579,1.233031974,295.3798412,321.0354223,0.92008489
14:10:12,49543,NIFTY DEC 2025 FUT,25962,25962.8,0.8,114000,123300,467,625,0.9246,0%,244.11,197.28,1.237378345,25927.59,0%,25989.75,1%,124,78,0.7472,1.2374197,295.574526,320.4536175,0.922362894
14:10:12,49543,NIFTY DEC 2025 FUT,25962,25962.8,0.8,115050,122475,476,623,0.9394,2%,241.7,196.59,1.229462333,25927.72,1%,25990.26,2%,121,79,0.764044944,1.229508824,298.2984186,318.3157094,0.937114977
