timestamp,best_bid,best_ask,spread,total_bid_qty,total_ask_qty,total_bid_orders,total_ask_orders,imbalance_ratio,avg_bid_order_size,avg_ask_order_size,bid_vwap,ask_vwap,bid_50pct_level,ask_50pct_level
2025-12-29 13:40:00.940839,25940.0,25941.1,1.0999999999985448,109575,100950,473,482,1.0854383358098068,231.65961945031714,209.43983402489627,25905.97227926078,25981.388930163448,123,115
2025-12-29 13:40:01.134620,25940.0,25941.1,1.0999999999985448,112200,109800,468,509,1.0218579234972678,239.74358974358975,215.71709233791748,25902.66336898396,25976.579098360657,117,111
2025-12-29 13:40:01.541134,25940.0,25941.1,1.0999999999985448,108900,115575,461,541,0.9422452952628163,236.22559652928416,213.6321626617375,25905.729476584023,25974.62297209604,128,110
2025-12-29 13:40:01.740643,25940.0,25941.1,1.0999999999985448,112425,115350,462,539,0.9746423927178154,243.34415584415584,214.0074211502783,25906.49139426284,25974.67600780234,124,110
2025-12-29 13:40:01.932194,25940.0,25941.1,1.0999999999985448,113550,110475,467,518,1.0278343516632722,243.14775160599572,213.27220077220076,25906.896631439893,25976.183842498303,126,111
2025-12-29 13:40:02.131376,25940.0,25941.1,1.0999999999985448,114375,112350,478,524,1.0180240320427236,239.27824267782427,214.4083969465649,25907.122360655736,25975.758744993323,123,109
2025-12-29 13:40:02.332526,25940.0,25941.1,1.0999999999985448,113850,111675,477,517,1.0194761584956347,238.67924528301887,216.00580270793037,25907.582279314887,25975.804298186704,121,111
2025-12-29 13:40:02.742207,25940.0,25941.1,1.0999999999985448,112425,93150,467,483,1.2069243156199678,240.73875802997858,192.85714285714286,25908.53615743829,25984.972222222223,123,117
2025-12-29 13:40:02.941832,25940.0,25941.1,1.0999999999985448,111675,106950,461,489,1.044179523141655,242.24511930585683,218.7116564417178,25908.959167226327,25979.45119214586,126,111
2025-12-29 13:40:03.140921,25940.0,25941.1,1.0999999999985448,111600,110625,460,512,1.008813559322034,242.6086956521739,216.064453125,25908.953427419354,25976.912813559324,126,109
2025-12-29 13:40:03.338154,25940.0,25941.1,1.0999999999985448,105450,114000,454,536,0.925,232.26872246696036,212.6865671641791,25905.46827880512,25975.763881578947,128,107
2025-12-29 13:40:03.537212,25940.0,25941.1,1.0999999999985448,108000,115875,458,547,0.9320388349514563,235.80786026200875,211.83729433272396,25906.251180555555,25975.245307443365,132,108
2025-12-29 13:40:03.929049,25940.0,25941.1,1.0999999999985448,110325,117375,459,550,0.9399361022364218,240.359477124183,213.4090909090909,25907.198912304553,25976.438402555912,129,104
