date,open,high,low,close,volume
2025-10-29T09:15:00+05:30,3057.9,3067.5,3046.1,3056.2,380662
2025-10-29T10:15:00+05:30,3056.2,3074.5,3053.2,3058.4,771318
2025-10-29T11:15:00+05:30,3058.6,3069.6,3055,3066.2,295675
2025-10-29T12:15:00+05:30,3066.2,3076,3066.2,3070.2,290429
2025-10-29T13:15:00+05:30,3070.9,3070.9,3058.8,3060.1,305429
2025-10-29T14:15:00+05:30,3060.1,3063.7,3055.5,3056.7,611808
2025-10-29T15:15:00+05:30,3056.3,3061.4,3055.6,3060,221958
2025-10-30T09:15:00+05:30,3049.1,3063.8,3042.1,3045.5,393891
2025-10-30T10:15:00+05:30,3045,3047.9,3036,3038.5,190090
2025-10-30T11:15:00+05:30,3039,3043.4,3032.8,3040,690548
2025-10-30T12:15:00+05:30,3040,3040,3035.4,3037,150523
2025-10-30T13:15:00+05:30,3037,3040,3034.5,3037.1,152608
2025-10-30T14:15:00+05:30,3037.2,3040,3033.3,3035.5,437924
2025-10-30T15:15:00+05:30,3035.5,3038,3033,3035.5,207708
2025-10-31T09:15:00+05:30,3035,3067.4,3025.1,3059.9,437273
2025-10-31T10:15:00+05:30,3058.6,3059,3050.6,3054.6,162653
2025-10-31T11:15:00+05:30,3054.2,3064.7,3053.7,3062,114763
2025-10-31T12:15:00+05:30,3062,3062.5,3053.1,3053.2,64252
2025-10-31T13:15:00+05:30,3053,3061.5,3043.7,3061.4,350059
2025-10-31T14:15:00+05:30,3061.3,3065.8,3055,3056,458190
2025-10-31T15:15:00+05:30,3055.8,3063,3051.8,3060,267990
2025-11-03T09:15:00+05:30,3046.9,3058,3037,3037.5,263317
2025-11-03T10:15:00+05:30,3036,3038.6,3030.1,3036,351290
2025-11-03T11:15:00+05:30,3035.3,3042.8,3020,3021.5,307291
2025-11-03T12:15:00+05:30,3021.3,3025.2,3011,3015.1,289222
2025-11-03T13:15:00+05:30,3015,3017.6,3010,3013.4,288635
2025-11-03T14:15:00+05:30,3013.4,3019,3012.7,3016.3,488364
2025-11-03T15:15:00+05:30,3016.3,3021,3016.3,3019.5,192501
2025-11-04T09:15:00+05:30,3019.6,3029.3,3000,3000.9,451684
2025-11-04T10:15:00+05:30,3000.5,3000.9,2979.1,2979.2,394956
2025-11-04T11:15:00+05:30,2979.1,2987.5,2976,2985.4,375142
2025-11-04T12:15:00+05:30,2985.4,2986.9,2980,2983,227154
2025-11-04T13:15:00+05:30,2983.5,2993,2983,2988,208831
2025-11-04T14:15:00+05:30,2988.7,2992.4,2985,2991.5,692556
2025-11-04T15:15:00+05:30,2991,2992.9,2985,2987,298436
2025-11-06T09:15:00+05:30,2990.1,3017.5,2990,3006.3,382934
2025-11-06T10:15:00+05:30,3005.3,3017,3000.9,3011.1,207152
2025-11-06T11:15:00+05:30,3011.1,3012.6,3003.5,3004.5,356113
2025-11-06T12:15:00+05:30,3004.5,3024,3003.8,3018.2,452406
2025-11-06T13:15:00+05:30,3018.2,3021.6,3012,3014.2,316830
2025-11-06T14:15:00+05:30,3013.8,3017.4,3009.1,3011.9,493214
2025-11-06T15:15:00+05:30,3011.9,3013.6,3007,3010,287504
2025-11-07T09:15:00+05:30,3001,3004,2960.5,2971,366365
2025-11-07T10:15:00+05:30,2971,2980.4,2968,2979.2,234722
2025-11-07T11:15:00+05:30,2979.2,2981.3,2972.1,2975.6,182457
2025-11-07T12:15:00+05:30,2975.3,2981.5,2974,2976,166366
2025-11-07T13:15:00+05:30,2975.9,2982,2970.3,2974.8,229127
2025-11-07T14:15:00+05:30,2974.8,2993,2973.7,2991,491902
2025-11-07T15:15:00+05:30,2991,2994.9,2990.1,2993.5,144367
2025-11-10T09:15:00+05:30,2993,3019.8,2992,3019.7,454170
2025-11-10T10:15:00+05:30,3019.7,3047.9,3018.3,3044.3,319113
2025-11-10T11:15:00+05:30,3044.3,3045,3029.4,3030,117810
2025-11-10T12:15:00+05:30,3029.5,3032.6,3025,3026.9,110224
2025-11-10T13:15:00+05:30,3026.9,3031,3023.2,3028,153761
2025-11-10T14:15:00+05:30,3028.2,3034,3023.5,3024.3,250505
2025-11-10T15:15:00+05:30,3025,3026.9,3023.1,3025,135811
2025-11-11T09:15:00+05:30,3045,3055.7,3021.1,3030.1,670269
2025-11-11T10:15:00+05:30,3030.1,3032.7,3018,3026.3,382498
2025-11-11T11:15:00+05:30,3026.4,3032,3023,3027.6,169466
2025-11-11T12:15:00+05:30,3027.6,3038.9,3026.5,3035.4,307548
2025-11-11T13:15:00+05:30,3035.3,3044,3032.3,3040.3,417987
2025-11-11T14:15:00+05:30,3041.3,3050,3039.2,3046.6,621371
2025-11-11T15:15:00+05:30,3046.4,3050.8,3045.2,3049,226254
2025-11-12T09:15:00+05:30,3060,3103.8,3057.1,3100.6,956376
2025-11-12T10:15:00+05:30,3101,3120.4,3099.9,3113.6,924363
2025-11-12T11:15:00+05:30,3114.1,3120,3112.5,3117.6,383271
2025-11-12T12:15:00+05:30,3117.6,3125.9,3115,3125,445071
2025-11-12T13:15:00+05:30,3125,3126,3118.6,3121,385973
2025-11-12T14:15:00+05:30,3120.8,3136.4,3119.2,3134,1023166
2025-11-12T15:15:00+05:30,3134.1,3134.4,3125,3125.6,323275
2025-11-13T09:15:00+05:30,3131.8,3131.9,3108.1,3116.2,312997
