time_ist,security_id,instrument_name,best_bid,best_ask,spread,total_bid_qty,total_ask_qty,total_bid_orders,total_ask_orders,imbalance_ratio,avg_bid_order_size,avg_ask_order_size,bid_vwap,ask_vwap,bid_50pct_level,ask_50pct_level
2025-12-29 14:10:13.005379,49543,NIFTY DEC 2025 FUT,25962.0,25962.9,0.9,113325,116325,467,578,0.9742,242.67,201.25,25927.36,25990.93,125,91
2025-12-29 14:10:13.205386,49543,NIFTY DEC 2025 FUT,25962.0,25962.9,0.9,114600,116625,474,582,0.9826,241.77,200.39,25927.3,25991.09,123,89
2025-12-29 14:10:13.405673,49543,NIFTY DEC 2025 FUT,25962.0,25962.9,0.9,114075,116325,469,578,0.9807,243.23,201.25,25927.5,25991.02,124,90
2025-12-29 14:10:13.806336,49543,NIFTY DEC 2025 FUT,25962.0,25962.9,0.9,114000,117600,469,589,0.9694,243.07,199.66,25927.48,25991.05,124,88
2025-12-29 14:10:14.006304,49543,NIFTY DEC 2025 FUT,25962.0,25962.9,0.9,114075,117300,470,585,0.9725,242.71,200.51,25927.45,25990.93,123,89
2025-12-29 14:10:14.206436,49543,NIFTY DEC 2025 FUT,25962.0,25963.0,1.0,112725,121650,458,621,0.9266,246.12,195.89,25926.72,25990.4,126,81
2025-12-29 14:10:14.406507,49543,NIFTY DEC 2025 FUT,25962.0,25963.0,1.0,112500,120150,455,606,0.9363,247.25,198.27,25926.71,25990.34,127,86
2025-12-29 14:10:14.606040,49543,NIFTY DEC 2025 FUT,25962.0,25963.0,1.0,112725,119925,458,603,0.94,246.12,198.88,25926.76,25990.21,126,85
2025-12-29 14:10:15.006418,49543,NIFTY DEC 2025 FUT,25962.0,25963.0,1.0,106425,118875,459,588,0.8953,231.86,202.17,25924.27,25989.57,130,85
2025-12-29 14:10:15.207566,49543,NIFTY DEC 2025 FUT,25962.0,25962.8,0.8,109725,118725,479,586,0.9242,229.07,202.6,25924.5,25989.63,122,85
2025-12-29 14:10:15.405287,49543,NIFTY DEC 2025 FUT,25962.0,25962.7,0.7,114825,119475,476,597,0.9611,241.23,200.13,25926.56,25989.95,118,86
2025-12-29 14:10:15.605547,49543,NIFTY DEC 2025 FUT,25962.0,25962.8,0.8,114750,119550,475,597,0.9598,241.58,200.25,25926.65,25989.92,119,85
2025-12-29 14:10:15.807248,49543,NIFTY DEC 2025 FUT,25962.0,25962.7,0.7,114600,119625,474,598,0.958,241.77,200.04,25926.98,25989.9,121,84
